nivesh@nivesh-VirtualBox:~/assignment_1$ ps -el
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    1449    1105  0  80   0 - 204131 do_pol ?       00:00:00 evolution-sourc
4 S     0    1460       1  0  80   0 - 79241 -      ?        00:00:02 upowerd
0 S  1000    1464    1105  0  80   0 - 631853 do_pol ?       00:00:00 gjs
0 S  1000    1473    1105  0  80   0 - 78727 do_pol ?        00:00:02 ibus-daemon
0 S  1000    1474    1105  0  80   0 - 95879 do_pol ?        00:00:00 gsd-a11y-settin
0 S  1000    1475    1105  0  80   0 - 103233 do_pol ?       00:00:00 gsd-color
0 S  1000    1476    1105  0  80   0 - 107917 do_pol ?       00:00:00 gsd-datetime
0 S  1000    1477    1105  0  80   0 - 114715 do_pol ?       00:00:00 gsd-housekeepin
0 S  1000    1479    1105  0  80   0 - 121379 do_pol ?       00:00:00 gsd-keyboard
0 S  1000    1480    1105  0  80   0 - 201768 do_pol ?       00:00:00 gsd-media-keys
0 S  1000    1481    1105  0  80   0 - 149321 do_pol ?       00:00:00 gsd-power
0 S  1000    1483    1105  0  80   0 - 80939 do_pol ?        00:00:00 gsd-print-notif
0 S  1000    1484    1105  0  80   0 - 132771 do_pol ?       00:00:00 gsd-rfkill
0 S  1000    1485    1105  0  80   0 - 77390 do_pol ?        00:00:00 gsd-screensaver
0 S  1000    1486    1105  0  80   0 - 135796 do_pol ?       00:00:00 gsd-sharing
0 S  1000    1487    1105  0  80   0 - 96454 do_pol ?        00:00:00 gsd-smartcard
0 S  1000    1490    1105  0  80   0 - 98408 do_pol ?        00:00:00 gsd-sound
0 S  1000    1494    1105  0  80   0 - 121623 do_pol ?       00:00:00 gsd-wacom
0 S  1000    1522    1105  0  80   0 - 136666 do_pol ?       00:00:00 goa-daemon
0 S  1000    1525    1259  0  80   0 - 206580 do_pol ?       00:00:00 evolution-alarm
0 S  1000    1535    1259  0  80   0 - 76406 do_pol ?        00:00:00 gsd-disk-utilit
0 S  1000    1658    1105  0  80   0 - 173541 do_pol ?       00:00:00 evolution-calen
0 S  1000    1701    1105  0  80   0 - 115755 do_pol ?       00:00:00 gvfs-udisks2-vo
0 S  1000    1704    1105  0  80   0 - 104059 do_pol ?       00:00:00 gsd-printer
0 S  1000    1715    1105  0  80   0 - 171543 do_pol ?       00:00:00 evolution-addre
0 S  1000    1720    1105  0  80   0 - 97281 do_pol ?        00:00:00 goa-identity-se
0 S  1000    1721    1473  0  80   0 - 59161 do_pol ?        00:00:00 ibus-memconf
0 S  1000    1727    1473  0  80   0 - 105391 do_pol ?       00:00:05 ibus-extension-
0 S  1000    1735    1105  0  80   0 - 77606 do_pol ?        00:00:00 ibus-portal
0 S  1000    1766    1105  0  80   0 - 77448 do_pol ?        00:00:00 gvfs-mtp-volume
0 S  1000    1771    1105  0  80   0 - 77690 do_pol ?        00:00:00 gvfs-gphoto2-vo
0 S  1000    1776    1105  0  80   0 - 77443 do_pol ?        00:00:00 gvfs-goa-volume
0 S  1000    1781    1105  0  80   0 - 97345 do_pol ?        00:00:00 gvfs-afc-volume
0 S  1000    1787    1295  0  80   0 - 64477 ep_pol ?        00:00:00 Xwayland
0 S  1000    1804    1473  0  80   0 - 59192 do_pol ?        00:00:00 ibus-engine-sim
0 S  1000    1829    1105  0  80   0 - 57552 do_pol ?        00:00:00 dconf-service
0 S  1000    1847    1105  0  80   0 - 59085 do_pol ?        00:00:00 gvfsd-metadata
0 S  1000    1849    1240  0  80   0 - 133927 do_pol ?       00:00:00 gvfsd-trash
0 S  1000    1882    1105  0  80   0 - 160209 do_pol ?       00:00:00 gsd-xsettings
0 S  1000    2081    1105  0  80   0 - 159018 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    2101    1105  0  80   0 - 631865 do_pol ?       00:00:00 gjs
0 S  1000    2146    1105  0  80   0 - 66787 do_pol ?        00:00:00 ibus-x11
0 S  1000    2155    1105  0  99   - - 171958 do_pol ?       00:00:01 tracker-miner-f
0 S  1000    2156    1105  0  80   0 - 139077 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    2168    1295  0  80   0 - 227278 do_pol ?       00:00:00 mutter-x11-fram
